Date;48PUV;48PVT;48PVU;48PVV;48PWA;48PWB;48PWQ;48PWR;48PWS;48PWT;48PWU;48PWV;48PXQ;48PXR;48PXS;48PXT;48PXU;48PXV;48PYQ;48PYR;48PYS;48PYT
20150831;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;0;0;2
20150930;0;2;2;2;1;1;1;3;3;2;2;2;1;3;3;2;2;2;0;0;0;2
20151031;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20151130;0;2;2;2;1;1;0;2;2;2;2;2;1;3;3;3;3;2;1;1;1;3
20151231;3;6;6;7;6;6;1;3;3;3;3;4;2;5;5;5;5;4;2;3;2;5
20160131;3;5;5;5;5;6;1;2;2;2;2;2;2;3;5;3;3;2;1;3;3;3
20160229;2;4;4;4;4;4;1;2;2;2;2;2;1;2;3;3;3;2;0;1;1;3
20160331;2;4;4;4;4;4;1;2;2;2;2;2;2;4;5;5;5;2;2;4;3;5
20160430;3;6;6;6;6;6;2;4;3;3;3;3;3;5;6;6;6;3;1;3;3;6
20160531;5;6;6;8;6;6;2;3;3;3;3;3;3;4;6;6;6;3;1;3;3;6
20160630;3;6;6;6;7;6;2;3;3;3;3;3;4;5;6;6;6;3;2;3;3;6
20160731;3;5;5;5;7;5;2;2;2;2;2;2;3;3;5;5;5;2;1;3;3;5
20160831;3;6;6;6;7;6;3;3;3;3;3;3;5;5;6;6;6;3;2;3;3;6
20160930;3;6;6;6;8;6;3;3;3;3;3;3;4;4;5;5;5;3;1;2;2;5
20161031;3;7;7;6;7;6;3;3;3;4;3;3;6;5;6;7;7;3;3;2;3;7
20161130;3;6;6;7;6;6;3;3;3;3;3;3;5;5;6;6;6;3;2;3;3;6
20161231;3;5;5;5;5;5;2;2;2;2;2;2;5;5;5;5;5;2;3;3;3;5
20170131;3;5;5;5;5;6;2;2;2;2;2;2;5;5;5;5;5;2;3;3;3;5
20170228;3;5;5;6;5;5;2;1;2;2;2;2;4;4;5;5;5;2;2;3;3;4
20170331;3;6;6;6;6;6;3;3;3;3;3;3;4;4;6;6;6;3;1;3;3;6
20170430;3;6;6;6;6;6;3;3;3;3;3;3;5;5;6;6;6;3;2;3;3;6
20170531;3;6;6;6;6;6;3;3;3;3;3;3;4;4;6;6;6;0;1;3;3;6
20170630;3;5;5;5;4;5;2;2;2;2;2;2;4;4;5;5;5;2;2;3;3;5
20170731;6;12;12;12;11;11;6;6;6;6;6;6;8;8;11;11;11;6;2;5;5;11
20170831;6;14;12;12;12;13;6;6;6;6;6;6;11;12;13;12;12;6;5;7;6;12
20170930;6;14;13;11;10;13;6;6;4;5;6;6;9;8;9;9;10;5;3;6;5;11
20171031;6;12;12;12;12;12;6;6;7;6;6;6;11;10;13;12;12;6;5;6;6;12
20171130;6;11;13;13;12;11;6;7;6;6;6;7;11;11;12;13;13;7;4;6;7;13
20171231;6;14;13;12;12;12;6;6;8;8;7;6;11;11;14;14;12;6;5;6;6;13
20180131;6;13;12;12;13;12;7;7;7;7;6;6;11;11;13;12;13;6;4;6;6;12
20180228;5;10;10;10;10;10;4;5;5;5;5;5;11;11;11;11;11;5;7;6;6;11
20180331;6;12;12;12;12;12;6;7;7;6;6;6;12;14;13;12;12;6;6;6;6;12
20180430;6;13;12;12;13;14;6;6;7;7;6;6;12;12;13;12;13;6;6;6;6;12
20180531;6;11;12;13;12;12;6;6;6;6;6;6;11;11;12;11;11;6;5;5;6;11
20180630;6;11;11;11;12;12;5;5;5;5;5;5;11;11;11;11;11;6;6;6;6;11
20180731;6;12;12;12;13;13;6;6;6;6;6;6;11;10;10;10;10;6;5;4;4;10
20180831;7;12;12;15;12;12;6;6;6;6;6;8;12;12;12;13;14;8;6;6;6;13
20180930;5;10;11;10;10;11;5;5;5;5;5;5;9;9;9;9;9;5;4;4;4;9
20181031;6;12;12;13;13;13;6;6;6;6;7;7;12;13;12;12;13;7;6;7;6;12
20181130;5;11;12;11;11;11;7;6;6;6;7;6;14;12;12;13;13;6;7;6;6;13
20181231;6;12;13;12;12;12;6;6;6;6;6;6;12;12;12;12;12;6;6;6;6;12
20190131;6;12;12;13;12;12;6;6;6;6;6;7;13;14;13;12;12;7;7;7;7;12
20190228;5;11;10;10;10;11;5;5;5;5;5;5;11;11;11;11;11;5;6;6;6;11
20190331;6;11;11;11;11;11;5;5;5;5;5;5;12;11;11;11;11;5;7;6;6;11
20190430;6;12;12;12;12;13;6;6;6;6;6;6;12;12;13;12;12;6;6;6;7;12
20190531;7;15;12;13;12;12;6;7;7;6;6;7;12;13;14;13;12;6;7;6;6;14
20190630;7;12;12;12;12;13;5;5;5;5;5;5;11;11;11;11;11;5;6;6;6;11
20190731;7;13;12;13;12;12;6;6;7;6;6;6;13;13;14;13;13;6;7;6;7;13
20190831;6;13;12;12;12;12;7;6;6;7;6;6;13;12;13;13;12;6;7;6;7;13
20190930;7;13;13;13;12;13;6;7;7;6;6;6;11;12;11;11;11;6;5;5;5;11
20191031;7;12;14;15;14;14;6;6;6;6;7;7;12;12;12;12;14;7;6;6;6;12
20191130;5;10;10;10;10;10;5;5;5;5;5;5;11;11;11;12;11;5;6;6;6;12
20191231;6;12;13;12;12;12;6;6;6;6;6;6;12;12;12;12;12;6;6;6;6;12
20200131;6;12;12;12;12;12;6;6;6;6;6;6;12;13;12;12;12;6;7;7;6;12
20200229;7;11;11;12;12;11;5;5;5;5;5;5;11;11;11;11;11;5;6;6;6;11
20200331;7;12;12;13;12;12;6;6;6;6;6;6;12;13;12;12;12;6;7;7;6;12
20200430;6;11;11;11;11;11;5;5;5;5;5;5;11;11;11;11;11;5;6;6;6;11
20200531;6;12;12;12;12;12;6;6;6;6;6;6;13;12;13;12;12;6;7;6;7;12
20200630;6;12;12;13;12;13;6;6;6;6;6;7;12;12;12;12;12;7;6;6;6;12
20200731;6;11;11;11;11;11;5;5;5;5;5;5;11;11;11;11;11;5;6;6;6;11
20200831;6;12;12;12;12;12;6;6;6;6;6;6;12;12;12;13;12;6;6;6;6;13
20200930;5;11;11;11;11;11;6;6;6;6;6;6;12;12;12;12;12;6;6;6;6;12
20201031;6;12;12;12;12;12;6;6;6;6;6;6;13;13;13;13;13;6;7;7;7;13
20201130;6;14;15;13;13;13;8;8;8;9;8;7;15;16;14;16;14;7;9;8;6;15
20201231;7;15;15;15;15;18;8;8;8;8;8;8;15;15;15;15;15;8;7;7;7;15
20210131;9;19;18;18;20;21;10;10;10;10;9;9;17;18;17;17;18;9;7;9;8;17
20210228;8;14;14;14;14;14;6;6;6;6;6;6;13;13;13;13;13;5;7;7;7;13
20210331;5;14;15;14;14;14;9;9;9;9;9;9;16;15;15;15;15;9;7;6;6;15
20210430;7;12;12;12;12;12;5;5;5;5;5;5;11;11;11;11;11;5;6;6;6;11
20210531;7;15;14;14;14;13;7;7;7;7;7;7;14;15;14;14;14;7;8;8;8;15
20210630;6;12;12;12;12;12;6;6;6;6;6;6;12;12;12;12;12;6;6;6;6;12
20210731;7;14;14;13;13;14;7;7;7;6;7;6;15;15;15;15;14;7;8;8;8;15
20210831;7;14;14;14;14;14;7;7;7;7;7;7;13;13;13;13;13;7;6;6;6;13
20210930;5;12;12;13;12;12;7;7;7;7;7;7;13;13;13;13;13;7;6;6;6;13
20211031;6;12;12;12;12;12;6;6;6;6;6;6;12;12;12;12;12;6;6;6;6;12
20211130;5;12;11;12;12;15;7;6;6;7;6;7;14;12;13;14;13;7;7;6;8;13
20211231;5;11;11;11;11;11;6;6;6;6;6;6;13;12;12;12;12;6;7;6;6;12
20220131;7;13;13;12;12;12;6;6;7;7;6;6;13;12;14;13;12;6;7;6;7;12
20220228;6;11;11;11;12;12;5;5;5;5;5;5;12;12;11;13;11;5;7;7;7;13
20220331;6;12;12;12;12;12;6;6;6;6;6;6;12;12;12;12;12;6;6;6;6;12
20220430;7;11;12;12;12;12;5;5;5;5;5;5;11;11;11;11;11;5;6;6;6;11
20220531;6;11;14;11;11;11;5;5;5;5;8;5;11;11;11;14;14;5;6;6;6;14
20220630;6;13;13;14;12;12;6;6;6;6;7;8;12;12;12;13;13;8;6;6;6;13
20220731;6;12;12;15;12;12;6;6;6;6;6;9;12;12;12;12;12;9;6;6;6;12
20220831;6;12;12;14;12;13;6;6;6;6;6;8;12;12;13;12;12;8;6;6;7;12
20220930;5;11;11;11;11;11;6;6;6;6;6;6;12;12;12;12;12;6;6;6;6;12
20221031;6;12;13;12;12;12;7;6;6;6;6;6;12;11;11;12;11;6;5;5;5;12
20221130;6;12;14;12;12;13;6;6;6;6;7;6;11;11;11;12;12;6;5;5;5;12
20221231;6;13;12;12;13;13;8;7;7;7;6;7;14;11;12;12;11;7;6;5;5;12
20230131;6;12;12;12;13;12;6;7;7;6;6;7;13;15;12;12;12;7;7;8;6;12
20230228;6;12;11;11;11;11;6;7;6;5;5;5;12;12;11;11;11;5;6;6;6;11
20230331;6;11;11;12;11;11;6;6;6;6;6;6;12;12;12;12;12;6;6;6;6;12
20230430;6;11;11;11;11;11;5;5;5;5;5;5;10;10;10;10;10;5;5;5;5;10
20230531;6;12;12;12;12;13;6;6;6;6;6;6;12;12;12;12;12;6;6;6;6;12
20230630;6;12;12;12;12;15;6;6;7;6;6;6;12;13;13;12;12;6;6;6;6;12
20230731;7;13;13;13;13;15;6;6;6;6;6;6;12;12;12;12;12;6;6;6;6;12
20230831;6;12;12;12;14;12;6;6;6;6;6;7;12;12;12;12;12;8;6;6;6;12
20230930;5;11;11;11;12;11;6;6;6;6;6;6;12;12;13;12;12;7;6;7;7;12
20231031;7;13;12;13;13;12;6;6;6;7;6;6;13;12;13;13;12;6;7;6;6;12
20231130;5;11;11;10;10;11;5;5;5;6;6;4;5;10;11;12;10;5;4;3;6;11
20231231;1;6;5;5;6;4;3;1;4;2;3;2;4;6;5;5;5;4;1;2;2;6
